img_path,y_true,attr_true,y_pred,p_0,p_1,p_max,correct
./data/fairface/data/val_8185.jpg,1,0,1,0.31907418370246887,0.6809257864952087,0.6809257864952087,1
./data/fairface/data/67539.jpg,0,1,0,0.9184050559997559,0.08159492164850235,0.9184050559997559,1
./data/fairface/data/23206.jpg,1,0,0,0.7223119735717773,0.27768799662590027,0.7223119735717773,0
./data/fairface/data/77034.jpg,1,1,0,0.6182898283004761,0.3817102015018463,0.6182898283004761,0
./data/fairface/data/24853.jpg,0,1,1,0.30407094955444336,0.6959290504455566,0.6959290504455566,0
./data/fairface/data/73039.jpg,1,0,1,0.01762133650481701,0.9823786616325378,0.9823786616325378,1
./data/fairface/data/73709.jpg,0,0,0,0.8459436893463135,0.15405628085136414,0.8459436893463135,1
./data/fairface/data/3887.jpg,1,1,1,0.014068600721657276,0.985931396484375,0.985931396484375,1
./data/fairface/data/34443.jpg,1,1,0,0.8563246130943298,0.14367544651031494,0.8563246130943298,0
./data/fairface/data/25556.jpg,0,0,0,0.8851248621940613,0.11487510055303574,0.8851248621940613,1
./data/fairface/data/val_8871.jpg,0,0,0,0.6748875379562378,0.3251124620437622,0.6748875379562378,1
./data/fairface/data/41308.jpg,1,1,1,0.06495078653097153,0.9350492358207703,0.9350492358207703,1
./data/fairface/data/val_619.jpg,1,0,0,0.9685148000717163,0.03148522973060608,0.9685148000717163,0
./data/fairface/data/10534.jpg,1,0,0,0.9711365103721619,0.02886356972157955,0.9711365103721619,0
./data/fairface/data/34329.jpg,1,1,1,0.4964253306388855,0.5035747289657593,0.5035747289657593,1
./data/fairface/data/55080.jpg,0,1,1,0.39374780654907227,0.6062522530555725,0.6062522530555725,0
./data/fairface/data/15136.jpg,1,0,0,0.9742314219474792,0.025768591091036797,0.9742314219474792,0
./data/fairface/data/28929.jpg,1,1,1,0.36768749356269836,0.6323124766349792,0.6323124766349792,1
./data/fairface/data/37193.jpg,0,1,1,0.4666471481323242,0.5333528518676758,0.5333528518676758,0
./data/fairface/data/55375.jpg,1,1,1,0.0021265775430947542,0.9978734254837036,0.9978734254837036,1
./data/fairface/data/41372.jpg,0,1,0,0.9012466073036194,0.09875340014696121,0.9012466073036194,1
./data/fairface/data/844.jpg,1,1,1,0.0051090833730995655,0.9948909282684326,0.9948909282684326,1
./data/fairface/data/34060.jpg,1,0,1,0.2999459505081177,0.7000539898872375,0.7000539898872375,1
./data/fairface/data/val_8702.jpg,1,0,0,0.7230184078216553,0.2769815921783447,0.7230184078216553,0
./data/fairface/data/val_4654.jpg,1,0,0,0.6513227224349976,0.34867724776268005,0.6513227224349976,0
./data/fairface/data/21917.jpg,0,1,0,0.5560619831085205,0.4439380168914795,0.5560619831085205,1
./data/fairface/data/60134.jpg,1,1,1,0.26970750093460083,0.7302924394607544,0.7302924394607544,1
./data/fairface/data/62947.jpg,1,1,1,0.0466148741543293,0.9533851146697998,0.9533851146697998,1
./data/fairface/data/50339.jpg,0,0,0,0.9952232241630554,0.004776809364557266,0.9952232241630554,1
./data/fairface/data/84644.jpg,0,1,0,0.7167644500732422,0.2832355201244354,0.7167644500732422,1
./data/fairface/data/39603.jpg,0,0,0,0.5909087657928467,0.4090912938117981,0.5909087657928467,1
./data/fairface/data/86733.jpg,0,1,1,0.4173334836959839,0.5826665163040161,0.5826665163040161,0
./data/fairface/data/33198.jpg,0,0,0,0.515662431716919,0.48433753848075867,0.515662431716919,1
./data/fairface/data/47567.jpg,1,1,1,0.0019675095099955797,0.9980325102806091,0.9980325102806091,1
./data/fairface/data/28173.jpg,0,0,0,0.9968942403793335,0.003105739364400506,0.9968942403793335,1
./data/fairface/data/27342.jpg,0,1,0,0.5317322015762329,0.4682677984237671,0.5317322015762329,1
./data/fairface/data/val_5135.jpg,1,1,1,0.000438135553849861,0.9995618462562561,0.9995618462562561,1
./data/fairface/data/64209.jpg,1,1,1,0.21556194126605988,0.7844380736351013,0.7844380736351013,1
./data/fairface/data/46084.jpg,1,0,1,0.1444849818944931,0.8555150032043457,0.8555150032043457,1
./data/fairface/data/22103.jpg,0,1,0,0.5378342866897583,0.4621657431125641,0.5378342866897583,1
./data/fairface/data/val_5659.jpg,1,0,0,0.9110559821128845,0.0889439731836319,0.9110559821128845,0
./data/fairface/data/15112.jpg,0,1,0,0.8544989228248596,0.14550112187862396,0.8544989228248596,1
./data/fairface/data/36821.jpg,1,1,1,0.026340637356042862,0.973659336566925,0.973659336566925,1
./data/fairface/data/77300.jpg,0,0,0,0.9670642018318176,0.032935790717601776,0.9670642018318176,1
./data/fairface/data/60178.jpg,0,0,1,0.031034819781780243,0.9689652323722839,0.9689652323722839,0
./data/fairface/data/22676.jpg,1,1,1,0.15994301438331604,0.8400569558143616,0.8400569558143616,1
./data/fairface/data/46419.jpg,0,0,1,0.04866628721356392,0.95133376121521,0.95133376121521,0
./data/fairface/data/38503.jpg,1,0,1,0.08779300004243851,0.9122070074081421,0.9122070074081421,1
./data/fairface/data/39499.jpg,1,1,0,0.5146480798721313,0.48535194993019104,0.5146480798721313,0
./data/fairface/data/72938.jpg,1,1,1,0.1141437515616417,0.8858562707901001,0.8858562707901001,1
./data/fairface/data/56685.jpg,1,0,1,0.00036741350777447224,0.9996325969696045,0.9996325969696045,1
./data/fairface/data/61281.jpg,0,1,0,0.8924569487571716,0.10754302889108658,0.8924569487571716,1
./data/fairface/data/40249.jpg,0,1,1,0.019655929878354073,0.9803440570831299,0.9803440570831299,0
./data/fairface/data/64622.jpg,1,0,1,0.28957507014274597,0.7104249000549316,0.7104249000549316,1
./data/fairface/data/13520.jpg,0,1,0,0.7488482594490051,0.25115177035331726,0.7488482594490051,1
./data/fairface/data/22248.jpg,1,1,1,0.05784817785024643,0.9421518445014954,0.9421518445014954,1
./data/fairface/data/26757.jpg,1,1,0,0.7194210886955261,0.28057897090911865,0.7194210886955261,0
./data/fairface/data/44875.jpg,1,0,1,0.2902657985687256,0.7097342014312744,0.7097342014312744,1
./data/fairface/data/66848.jpg,1,1,1,0.06267865002155304,0.9373213648796082,0.9373213648796082,1
./data/fairface/data/8058.jpg,0,1,0,0.6226838827133179,0.37731608748435974,0.6226838827133179,1
